01/10/20 01:50:33 INFO  BasicHook:20 - ------ Starting -----Crear Token-----
01/10/20 01:50:34 INFO  MethodsService:109 - >>>Request: http://vps2.crowdaronline.com:8083/user/authenticate, {username=admin, password=password}, {Content-Type=application/json}
01/10/20 01:50:35 INFO  RestClient:90 - >>>Response: <200 OK,api.model.Token@2fbafa47,{X-Content-Type-Options=[nosniff], X-XSS-Protection=[1; mode=block], Cache-Control=[no-cache, no-store, max-age=0, must-revalidate], Pragma=[no-cache], Expires=[0], X-Frame-Options=[DENY], Content-Type=[application/json;charset=ISO-8859-1], Content-Length=[277], Date=[Thu, 01 Oct 2020 04:50:39 GMT]}>
01/10/20 01:50:35 INFO  BasicHook:35 - ------ Ending -----Crear Token-----
01/10/20 01:50:35 INFO  BasicHook:20 - ------ Starting -----Busco datos de las categorias-----
01/10/20 01:50:35 INFO  MethodsService:109 - >>>Request: http://vps2.crowdaronline.com:8083/rest/categories/search/getCategoryTimeTakenAverageOverNReports, {reportsLength=0}, {Content-Type=application/json, Authorization=Bearer eyJhbGciOiJIUzUxMiJ9.eyJpc3MiOiJMaXBwaWEtUmVwb3J0LVNlcnZlciIsInN1YiI6ImFkbWluIiwiaWF0IjoxNjAxNTI3ODM5LCJleHAiOjE2MDE2MTQyMzl9.uHvP_aXx5L_5V8SCTIC401dLvid791R5NSn8ZDdGgGR5NwDvrT7HzIjGPmrwZ26efbd-CGJIX1100oU3W4YHjg}
01/10/20 01:50:35 INFO  RestClient:90 - >>>Response: <200 OK,[Lapi.model.Categories;@4009f0ec,{Set-Cookie=[JSESSIONID=17D809DAA1BBCCFEE54226C059FE3519; Path=/; HttpOnly], X-Content-Type-Options=[nosniff], X-XSS-Protection=[1; mode=block], Cache-Control=[no-cache, no-store, max-age=0, must-revalidate], Pragma=[no-cache], Expires=[0], X-Frame-Options=[DENY], Content-Type=[application/json;charset=UTF-8], Transfer-Encoding=[chunked], Date=[Thu, 01 Oct 2020 04:50:39 GMT]}>
01/10/20 01:50:35 INFO  BasicHook:35 - ------ Ending -----Busco datos de las categorias-----
01/10/20 01:50:35 INFO  BasicHook:20 - ------ Starting -----Busco datos de las categorias-----
01/10/20 01:50:35 INFO  MethodsService:109 - >>>Request: http://vps2.crowdaronline.com:8083/rest/categories/search/getCategoryTestLengthAverageOverNReports, {reportsLength=0}, {Authorization=Bearer eyJhbGciOiJIUzUxMiJ9.eyJpc3MiOiJMaXBwaWEtUmVwb3J0LVNlcnZlciIsInN1YiI6ImFkbWluIiwiaWF0IjoxNjAxNTI3ODM5LCJleHAiOjE2MDE2MTQyMzl9.uHvP_aXx5L_5V8SCTIC401dLvid791R5NSn8ZDdGgGR5NwDvrT7HzIjGPmrwZ26efbd-CGJIX1100oU3W4YHjg, Content-Type=application/json}
01/10/20 01:50:36 INFO  RestClient:90 - >>>Response: <200 OK,[Lapi.model.Categories;@58632d8a,{Set-Cookie=[JSESSIONID=A338DDE70704274203245FF9117BF14E; Path=/; HttpOnly], X-Content-Type-Options=[nosniff], X-XSS-Protection=[1; mode=block], Cache-Control=[no-cache, no-store, max-age=0, must-revalidate], Pragma=[no-cache], Expires=[0], X-Frame-Options=[DENY], Content-Type=[application/json;charset=UTF-8], Transfer-Encoding=[chunked], Date=[Thu, 01 Oct 2020 04:50:39 GMT]}>
01/10/20 01:50:36 INFO  BasicHook:35 - ------ Ending -----Busco datos de las categorias-----
01/10/20 01:50:36 INFO  BasicHook:20 - ------ Starting -----A scenario-----
01/10/20 01:50:36 INFO  MethodsService:109 - >>>Request: http://vps2.crowdaronline.com:8083/rest/tests/update, {Authorization=Bearer eyJhbGciOiJIUzUxMiJ9.eyJpc3MiOiJMaXBwaWEtUmVwb3J0LVNlcnZlciIsInN1YiI6ImFkbWluIiwiaWF0IjoxNjAxNTI3ODM5LCJleHAiOjE2MDE2MTQyMzl9.uHvP_aXx5L_5V8SCTIC401dLvid791R5NSn8ZDdGgGR5NwDvrT7HzIjGPmrwZ26efbd-CGJIX1100oU3W4YHjg, Content-Type=application/json}, {"reportName":"Crowdar","level":"1","name":"hostapi","status":"OK","bdd":true,"bddType":"MariaDB","childNodesLength":1,"endTime":"2030-09-29T04:08:49.492Z","startTime":"2030-09-29T04:08:49.492Z","description":"Prueba de update"}
01/10/20 01:50:36 INFO  RestClient:90 - >>>Response: <201 Created,{Set-Cookie=[JSESSIONID=6C3B9D9E38651C8EB3D5663B80D3DF45; Path=/; HttpOnly], X-Content-Type-Options=[nosniff], X-XSS-Protection=[1; mode=block], Cache-Control=[no-cache, no-store, max-age=0, must-revalidate], Pragma=[no-cache], Expires=[0], X-Frame-Options=[DENY], Content-Length=[0], Date=[Thu, 01 Oct 2020 04:50:39 GMT]}>
01/10/20 01:50:36 INFO  BasicHook:35 - ------ Ending -----A scenario-----
01/10/20 01:50:36 INFO  BasicHook:20 - ------ Starting -----Solicito mi usuario-----
